ProblemID,Group,Config,Mining,Family,MeanCmax
Ta100_10_1,100×10,Baseline,Contrast,FRB4-p1,5836.2
Ta100_10_1,100×10,Baseline,Contrast,INEH-inspired,5878.0
Ta100_10_1,100×10,Baseline,Contrast,KK2-style-NEH,5977.0
Ta100_10_1,100×10,Baseline,Contrast,NEH,5877.6
Ta100_10_1,100×10,Baseline,Contrast,NEH-TBKK2,5887.4
Ta100_10_1,100×10,Baseline,Elite-only,FRB4-p1,5810.0
Ta100_10_1,100×10,Baseline,Elite-only,INEH-inspired,5858.6
Ta100_10_1,100×10,Baseline,Elite-only,KK2-style-NEH,5959.0
Ta100_10_1,100×10,Baseline,Elite-only,NEH,5861.8
Ta100_10_1,100×10,Baseline,Elite-only,NEH-TBKK2,5896.6
Ta100_10_1,100×10,Elite_025,Contrast,FRB4-p1,5820.2
Ta100_10_1,100×10,Elite_025,Contrast,INEH-inspired,5866.8
Ta100_10_1,100×10,Elite_025,Contrast,KK2-style-NEH,5975.2
Ta100_10_1,100×10,Elite_025,Contrast,NEH,5880.8
Ta100_10_1,100×10,Elite_025,Contrast,NEH-TBKK2,5897.4
Ta100_10_1,100×10,Elite_025,Elite-only,FRB4-p1,5819.8
Ta100_10_1,100×10,Elite_025,Elite-only,INEH-inspired,5873.0
Ta100_10_1,100×10,Elite_025,Elite-only,KK2-style-NEH,5947.4
Ta100_10_1,100×10,Elite_025,Elite-only,NEH,5854.6
Ta100_10_1,100×10,Elite_025,Elite-only,NEH-TBKK2,5895.2
Ta100_10_1,100×10,Elite_10,Contrast,FRB4-p1,5824.0
Ta100_10_1,100×10,Elite_10,Contrast,INEH-inspired,5860.6
Ta100_10_1,100×10,Elite_10,Contrast,KK2-style-NEH,5978.4
Ta100_10_1,100×10,Elite_10,Contrast,NEH,5865.4
Ta100_10_1,100×10,Elite_10,Contrast,NEH-TBKK2,5894.8
Ta100_10_1,100×10,Elite_10,Elite-only,FRB4-p1,5826.4
Ta100_10_1,100×10,Elite_10,Elite-only,INEH-inspired,5867.4
Ta100_10_1,100×10,Elite_10,Elite-only,KK2-style-NEH,5957.6
Ta100_10_1,100×10,Elite_10,Elite-only,NEH,5846.6
Ta100_10_1,100×10,Elite_10,Elite-only,NEH-TBKK2,5891.6
Ta100_10_1,100×10,PRules_2n,Contrast,FRB4-p1,5824.8
Ta100_10_1,100×10,PRules_2n,Contrast,INEH-inspired,5859.8
Ta100_10_1,100×10,PRules_2n,Contrast,KK2-style-NEH,5941.0
Ta100_10_1,100×10,PRules_2n,Contrast,NEH,5882.0
Ta100_10_1,100×10,PRules_2n,Contrast,NEH-TBKK2,5891.6
Ta100_10_1,100×10,PRules_2n,Elite-only,FRB4-p1,5808.4
Ta100_10_1,100×10,PRules_2n,Elite-only,INEH-inspired,5874.2
Ta100_10_1,100×10,PRules_2n,Elite-only,KK2-style-NEH,5954.0
Ta100_10_1,100×10,PRules_2n,Elite-only,NEH,5858.6
Ta100_10_1,100×10,PRules_2n,Elite-only,NEH-TBKK2,5892.6
Ta100_10_1,100×10,PRules_4n,Contrast,FRB4-p1,5832.8
Ta100_10_1,100×10,PRules_4n,Contrast,INEH-inspired,5865.0
Ta100_10_1,100×10,PRules_4n,Contrast,KK2-style-NEH,5950.6
Ta100_10_1,100×10,PRules_4n,Contrast,NEH,5887.8
Ta100_10_1,100×10,PRules_4n,Contrast,NEH-TBKK2,5883.2
Ta100_10_1,100×10,PRules_4n,Elite-only,FRB4-p1,5822.0
Ta100_10_1,100×10,PRules_4n,Elite-only,INEH-inspired,5868.4
Ta100_10_1,100×10,PRules_4n,Elite-only,KK2-style-NEH,5950.0
Ta100_10_1,100×10,PRules_4n,Elite-only,NEH,5861.8
Ta100_10_1,100×10,PRules_4n,Elite-only,NEH-TBKK2,5862.0
Ta100_10_1,100×10,Poor_05,Contrast,FRB4-p1,5817.4
Ta100_10_1,100×10,Poor_05,Contrast,INEH-inspired,5880.6
Ta100_10_1,100×10,Poor_05,Contrast,KK2-style-NEH,5981.0
Ta100_10_1,100×10,Poor_05,Contrast,NEH,5873.8
Ta100_10_1,100×10,Poor_05,Contrast,NEH-TBKK2,5888.4
Ta100_10_1,100×10,Poor_05,Elite-only,FRB4-p1,5810.0
Ta100_10_1,100×10,Poor_05,Elite-only,INEH-inspired,5858.6
Ta100_10_1,100×10,Poor_05,Elite-only,KK2-style-NEH,5959.0
Ta100_10_1,100×10,Poor_05,Elite-only,NEH,5861.8
Ta100_10_1,100×10,Poor_05,Elite-only,NEH-TBKK2,5896.6
Ta100_10_1,100×10,Poor_20,Contrast,FRB4-p1,5829.0
Ta100_10_1,100×10,Poor_20,Contrast,INEH-inspired,5852.2
Ta100_10_1,100×10,Poor_20,Contrast,KK2-style-NEH,5965.6
Ta100_10_1,100×10,Poor_20,Contrast,NEH,5882.8
Ta100_10_1,100×10,Poor_20,Contrast,NEH-TBKK2,5883.4
Ta100_10_1,100×10,Poor_20,Elite-only,FRB4-p1,5810.0
Ta100_10_1,100×10,Poor_20,Elite-only,INEH-inspired,5858.6
Ta100_10_1,100×10,Poor_20,Elite-only,KK2-style-NEH,5959.0
Ta100_10_1,100×10,Poor_20,Elite-only,NEH,5861.8
Ta100_10_1,100×10,Poor_20,Elite-only,NEH-TBKK2,5896.6
Ta100_10_1,100×10,Regions_2,Contrast,FRB4-p1,5823.0
Ta100_10_1,100×10,Regions_2,Contrast,INEH-inspired,5879.6
Ta100_10_1,100×10,Regions_2,Contrast,KK2-style-NEH,5995.6
Ta100_10_1,100×10,Regions_2,Contrast,NEH,5841.0
Ta100_10_1,100×10,Regions_2,Contrast,NEH-TBKK2,5868.2
Ta100_10_1,100×10,Regions_2,Elite-only,FRB4-p1,5828.2
Ta100_10_1,100×10,Regions_2,Elite-only,INEH-inspired,5869.8
Ta100_10_1,100×10,Regions_2,Elite-only,KK2-style-NEH,6018.6
Ta100_10_1,100×10,Regions_2,Elite-only,NEH,5854.2
