ProblemID,Group,n,m,Replication,Seed,PoolSize,PoolBest,PoolMean,PoolSD,PoolWorst,EliteN,PoorN,TieMode,ElapsedSec,HistoricalPRAuditPass,HistoricalPRMatched,HistoricalPRChecked
Ta20_5_1,20×5,20,5,1,210501210,200000,1303,1515.62061,60.14196786362575,1784,10000,20000,numpy_quicksort,0.67938759900062,True,10,10
Ta20_5_1,20×5,20,5,2,210502219,200000,1298,1515.598,60.028703327875704,1791,10000,20000,numpy_quicksort,0.35022225099965,True,10,10
Ta20_5_1,20×5,20,5,3,210503228,200000,1309,1515.26612,59.82833381678982,1798,10000,20000,numpy_quicksort,0.3628662479986815,True,10,10
Ta20_5_1,20×5,20,5,4,210504237,200000,1299,1515.601175,60.1550310178472,1793,10000,20000,numpy_quicksort,0.35603519000142114,True,10,10
Ta20_5_1,20×5,20,5,5,210505246,200000,1312,1515.907205,60.098492354067346,1796,10000,20000,numpy_quicksort,0.35660671400000865,True,10,10
Ta20_5_10,20×5,20,5,1,211401210,200000,1185,1437.940275,76.60634334429217,1827,10000,20000,numpy_quicksort,0.671800575000816,True,10,10
Ta20_5_10,20×5,20,5,2,211402219,200000,1188,1437.693015,76.28749448054278,1817,10000,20000,numpy_quicksort,0.38643116599996574,True,10,10
Ta20_5_10,20×5,20,5,3,211403228,200000,1191,1437.65633,76.41413440281048,1825,10000,20000,numpy_quicksort,0.3921107149999443,True,10,10
Ta20_5_10,20×5,20,5,4,211404237,200000,1172,1437.912765,76.4078648168093,1819,10000,20000,numpy_quicksort,0.3656360750010208,True,10,10
Ta20_5_10,20×5,20,5,5,211405246,200000,1184,1438.092425,76.65581852143998,1843,10000,20000,numpy_quicksort,0.3810330040014378,True,10,10
Ta20_10_1,20×10,20,10,1,220501210,200000,1736,2023.861245,79.27012539925667,2417,10000,20000,numpy_quicksort,0.3468468099999882,True,10,10
Ta20_10_1,20×10,20,10,2,220502219,200000,1709,2024.114105,79.39764565136456,2442,10000,20000,numpy_quicksort,0.35280117799993604,True,10,10
Ta20_10_1,20×10,20,10,3,220503228,200000,1721,2024.17636,79.17127861546248,2421,10000,20000,numpy_quicksort,0.35513417499896605,True,10,10
