Config,Alternative,MeanDeltaPct_280cells,MedianDeltaPct_280cells,MeanAbsDeltaPct_280cells,W_280cells,T_280cells,L_280cells,ProblemMeanDeltaPct_28,ProblemW_28,ProblemT_28,ProblemL_28
PRules_2n,Top P = 2n,-0.0018512923334796463,0.0,0.13750553742746055,93,86,101,-0.001851292333479647,14,0,14
PRules_4n,Top P = 4n,0.030743885725352797,0.0,0.17218423736943048,112,74,94,0.030743885725352797,21,0,7
Regions_2,R regions = 2,-0.004724098159859997,0.0,0.3428237774408847,119,31,130,-0.004724098159859998,15,0,13
Regions_8,R regions = 8,-0.012538265999733908,0.0,0.3155118205509607,129,29,122,-0.012538265999733905,13,0,15
q_2,q = 2,-0.08067972403316293,0.0,0.16209257720519335,31,172,77,-0.08067972403316291,6,0,22
q_6,q = 6,0.03792015790052959,0.0,0.09094957982685892,65,176,39,0.03792015790052959,23,0,5
Elite_025,Elite = 2.5%,-0.013825485772046526,0.0,0.14391425458235943,106,69,105,-0.013825485772046526,16,1,11
Elite_10,Elite = 10%,0.004153175539703663,0.0,0.11015537929256704,99,86,95,0.004153175539703661,16,0,12
Poor_05,Poor = 5%,-0.005979348074938058,0.0,0.05058288516180172,43,188,49,-0.005979348074938059,12,1,15
Poor_20,Poor = 20%,-0.004811713432083042,0.0,0.0639313411660485,52,184,44,-0.004811713432083041,15,1,12
